model,from,to,rows,lod_changed,lod_changed_share,more_protect,less_protect,avg_priority_delta,cull_changed,role_changed
a,1,3,24259,5931,0.24448658229935283,5031,900,0.6393503442021518,4011,5931
a,1,5,24259,1481,0.061049507399315715,1381,100,0.10973247042334804,882,1481
a,5,6,24259,5419,0.22338101323220247,4530,889,0.5438393998103797,3491,5419
a,1,6,24259,5593,0.23055360896986685,4917,676,0.6535718702337276,4113,5593
a,2,4,24259,21987,0.9063440372645204,21799,188,3.511892493507564,21667,21987
a,2,6,24259,23284,0.9598087307803289,22095,1189,3.905684488231172,16398,23284
b,1,3,63063,17733,0.28119499548070975,16201,1532,0.6478917907489337,9375,17733
b,1,5,63063,6122,0.09707752564895422,4442,1680,0.09178123463837749,3630,6122
b,5,6,63063,18203,0.2886478600764315,16496,1707,0.6426272140557855,9581,18203
b,1,6,63063,17647,0.2798312798312798,16281,1366,0.734408448694163,11163,17647
b,2,4,63063,54128,0.8583162868877154,52704,1424,2.940947940947941,52751,54128
b,2,6,63063,60182,0.9543155257440972,55529,4653,2.7388643102928816,32051,60182
c,1,3,61467,23186,0.3772105357346218,21842,1344,1.0809865456261083,14920,23186
c,1,5,61467,4666,0.07591065124375682,4223,443,0.1304765158540355,2164,4666
c,5,6,61467,22031,0.3584199651845706,20051,1980,0.9710413717929947,14797,22031
c,1,6,61467,21535,0.35035059462801177,20773,762,1.1015178876470302,15443,21535
c,2,4,61467,53279,0.8667903102477752,52154,1125,3.2304488587372084,52240,53279
c,2,6,61467,55639,0.905184895960434,51751,3888,2.9665511575316836,35967,55639
o1778,1,3,1778,710,0.39932508436445446,646,64,1.0736782902137232,421,710
o1778,1,5,1778,181,0.10179977502812149,165,16,0.16141732283464566,96,181
o1778,5,6,1778,582,0.32733408323959506,527,55,0.8678290213723284,348,582
o1778,1,6,1778,656,0.3689538807649044,602,54,1.0292463442069741,432,656
o1778,2,4,1778,1557,0.8757030371203599,1547,10,3.3655793025871765,1517,1557
o1778,2,6,1778,1630,0.9167604049493814,1581,49,3.4431946006749157,1054,1630
o3049,1,3,3049,1257,0.4122663168251886,1094,163,1.2797638570022958,833,1257
o3049,1,5,3049,463,0.1518530665792063,415,48,0.2663168251885864,308,463
o3049,5,6,3049,1115,0.365693670055756,987,128,0.9524434240734667,557,1115
o3049,1,6,3049,1192,0.39094785175467367,1055,137,1.218760249262053,831,1192
o3049,2,4,3049,2608,0.8553624139061987,2592,16,3.570022958346999,2497,2608
o3049,2,6,3049,2848,0.9340767464742539,2739,109,2.761233191210233,1403,2848
