order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z,size_class,detail_class,confidence_class,confidence_margin,semantic_group,geometry_fallback_class,small_low_conf_refined,lod_priority,lod_strategy,target_ratio_near,target_ratio_mid,target_ratio_far,allow_cull,screen_error_weight
1,0,Mesh.444,0,Mesh_444,mesh,mesh_1,1,3,pins_rivets_keys,0.7926527857780457,12,handles_controls,0.021900689229369164,193,108,0.10362525284290314,,9.358648300170898,0.8920007944107056,-11.36299991607666,9.380647659301758,1.5580008029937744,-11.29699993133545,0.021999359130859375,0.6660000085830688,0.06599998474121094,0.6696237609439023,0.0009670036188530401,0.6660000085830688,0.06599998474121094,0.021999359130859375,10.09091155391151,0.033032070341355614,0.0032205906817887875,flat_plate,9.369924545288086,1.224164366722107,-11.331802368164062,S5_xlarge,D1_low,C2_high,0.7707520965486765,fastener_repeated,geom_thin_plate,False,P2_aggressive,fastener_repeated_aggressive,0.45,0.2,0.06,True,0.65
2,2,Mesh.445,1,Mesh_445,mesh,mesh_2,1,12,handles_controls,0.21950042247772217,6,motors_gearmotors,0.09893659502267838,1267,874,0.7360908389091492,,9.144647598266602,0.45000070333480835,-11.619000434875488,9.594648361206055,0.6500007510185242,-10.952000617980957,0.4500007629394531,0.20000004768371582,0.6669998168945312,0.8290895376597854,0.06003009960889056,0.6669998168945312,0.4500007629394531,0.20000004768371582,1.4822193023354384,0.299850228767515,0.1053330742365973,irregular,9.364234924316406,0.5117402076721191,-11.302247047424316,S6_huge,D1_low,C0_low_or_ambiguous,0.12056382745504379,semantic_uncertain,geom_simple_irregular,False,P2_aggressive,large_static_bulk_fast_simplify,0.45,0.2,0.06,True,0.65
3,4,Mesh.448,2,Mesh_448,mesh,mesh_3,1,3,pins_rivets_keys,0.4151076376438141,12,handles_controls,0.20379449427127838,835,340,0.042966343462467194,,9.232647895812988,1.0690008401870728,-11.520000457763672,9.272648811340332,1.4200007915496826,-11.479999542236328,0.04000091552734375,0.35099995136260986,0.04000091552734375,0.35552934104319134,0.0005616256304786307,0.35099995136260986,0.04000091552734375,0.04000091552734375,8.774797944878886,0.11396273809172053,0.012497426044925538,flat_plate,9.252604484558105,1.1324539184570312,-11.499996185302734,S5_xlarge,D0_very_low,C1_medium,0.2113131433725357,fastener_repeated,geom_wire_or_rod,False,P2_aggressive,fastener_repeated_aggressive,0.45,0.2,0.06,True,0.65
4,6,Mesh.441,3,Mesh_441,mesh,mesh_4,1,3,pins_rivets_keys,0.5694926977157593,0,screws_bolts_studs,0.09327404201030731,817,340,0.042966343462467194,,9.232647895812988,1.1850007772445679,-11.520000457763672,9.272648811340332,1.5360007286071777,-11.479999542236328,0.04000091552734375,0.35099995136260986,0.04000091552734375,0.35552934104319134,0.0005616256304786307,0.35099995136260986,0.04000091552734375,0.04000091552734375,8.774797944878886,0.11396273809172053,0.012497426044925538,flat_plate,9.252685546875,1.476754903793335,-11.500076293945312,S5_xlarge,D0_very_low,C1_medium,0.47621865570545197,fastener_repeated,geom_wire_or_rod,False,P2_aggressive,fastener_repeated_aggressive,0.45,0.2,0.06,True,0.65
5,8,Mesh.440,4,Mesh_440,mesh,mesh_5,1,12,handles_controls,0.4565741717815399,7,pipe_fittings_valves_nozzles,0.07380935549736023,1092,480,0.0300353541970253,,9.348648071289062,1.5965007543563843,-12.293499946594238,9.390647888183594,1.6935008764266968,-12.171500205993652,0.04199981689453125,0.0970001220703125,0.12199974060058594,0.1614216373583168,0.0004970254018255016,0.12199974060058594,0.0970001220703125,0.04199981689453125,1.2577277017461066,0.3442615261948314,0.1181662192684993,irregular,9.369697570800781,1.6452043056488037,-12.237889289855957,S4_large,D1_low,C1_medium,0.3827648162841797,control_or_handle,geom_simple_irregular,False,P4_conservative,protect_control_surface,0.8,0.5,0.26,False,1.15
6,10,Mesh.443,5,Mesh_443,mesh,mesh_6,1,4,bearings_bushings_guides,0.411498486995697,7,pipe_fittings_valves_nozzles,0.4105953276157379,1224,632,0.006575420498847961,,9.344738006591797,1.6200233697891235,-12.305000305175781,9.394647598266602,1.6699782609939575,-12.293499946594238,0.04990959167480469,0.049954891204833984,0.011500358581542969,0.0715452076937135,2.8673018580837283e-05,0.049954891204833984,0.04990959167480469,0.011500358581542969,1.000907631749914,0.23021486593549248,0.07829459282046151,irregular,9.36966323852539,1.6467777490615845,-12.299774169921875,S3_medium,D1_low,C0_low_or_ambiguous,0.0009031593799591064,semantic_uncertain,geom_ring_or_disk,False,P2_aggressive,ordinary_part_fast_simplify,0.45,0.2,0.06,True,0.65
7,12,Mesh.437,6,Mesh_437,mesh,mesh_7,1,6,motors_gearmotors,0.4774200916290283,9,wheels_castors,0.08719974756240845,4922,2216,1.0924174785614014,,9.028647422790527,0.5795007944107056,-11.63900089263916,9.710648536682129,1.092000961303711,-11.131000518798828,0.6820011138916016,0.5125001668930054,0.508000373840332,0.9928979404937149,0.177559178489654,0.6820011138916016,0.5125001668930054,0.508000373840332,1.3307334474175554,0.7448673667724749,0.18139666465516294,compact_block,9.368603706359863,0.8742668032646179,-11.443989753723145,S6_huge,D2_medium,C1_medium,0.3902203440666199,motion_or_precision_part,geom_compact_block,False,P5_preserve,preserve_motion_or_precision_key,1.0,0.75,0.45,False,1.5
8,14,Mesh.447,7,Mesh_447,mesh,mesh_8,1,12,handles_controls,0.48590216040611267,3,pins_rivets_keys,0.14164745807647705,617,316,0.39257314801216125,,9.312148094177246,0.8130007386207581,-11.612000465393066,9.428647994995117,1.5560009479522705,-11.387999534606934,0.1164999008178711,0.7430002093315125,0.2240009307861328,0.7847279496426127,0.01938939752396679,0.7430002093315125,0.2240009307861328,0.1164999008178711,3.3169514373174613,0.1567965921876222,0.04012425217855894,long_slender,9.368639945983887,1.2009952068328857,-11.507283210754395,S6_huge,D1_low,C1_medium,0.3442547023296356,control_or_handle,geom_slender_bar,False,P4_conservative,protect_control_surface,0.8,0.5,0.26,False,1.15
9,16,Mesh.446,8,Mesh_446,mesh,mesh_9,1,12,handles_controls,0.3549083173274994,0,screws_bolts_studs,0.2545721232891083,2840,1616,0.525268018245697,,9.272148132324219,1.5475010871887207,-12.268001556396484,9.467147827148438,1.7425010204315186,-11.208001136779785,0.19499969482421875,0.19499993324279785,1.0600004196166992,1.0952856908285675,0.04030643907736848,1.0600004196166992,0.19499993324279785,0.19499969482421875,5.435901448729595,0.18396190342521893,0.030675538101650385,long_slender,9.369440078735352,1.645060420036316,-11.876518249511719,S6_huge,D1_low,C0_low_or_ambiguous,0.10033619403839111,semantic_uncertain,geom_slender_bar,False,P2_aggressive,large_static_bulk_fast_simplify,0.45,0.2,0.06,True,0.65
10,18,Mesh.438,9,Mesh_438,mesh,mesh_10,1,12,handles_controls,0.34194204211235046,8,joints_clamps_structural_connectors,0.31363049149513245,428,218,0.07001988589763641,,9.355897903442383,0.8690007925033569,-11.555999755859375,9.413398742675781,0.9810007810592651,-11.305000305175781,0.05750083923339844,0.1119999885559082,0.25099945068359375,0.2808043236713682,0.001616459889711104,0.25099945068359375,0.1119999885559082,0.05750083923339844,2.2410667529514945,0.22908751025867047,0.07300516065883818,irregular,9.38573932647705,0.9276111721992493,-11.4105863571167,S4_large,D1_low,C0_low_or_ambiguous,0.028311550617218018,semantic_uncertain,geom_simple_irregular,False,P2_aggressive,ordinary_part_fast_simplify,0.45,0.2,0.06,True,0.65
