group,method,rmse,psnr_db,ssim,mean_pixel_error,p95_pixel_error,fps
a,feature_constraints_off,0.047018,26.555,0.962764,0.021141,0.135166,297
a,proposed,0.040597,27.830,0.971831,0.016156,0.092303,319
b,feature_constraints_off,0.053722,25.397,0.937408,0.026923,0.179238,735
b,proposed,0.045933,26.757,0.953560,0.020655,0.138371,718
c,feature_constraints_off,0.060952,24.300,0.930660,0.030197,0.204449,291
c,proposed,0.053399,25.449,0.946634,0.023713,0.158278,285
d,feature_constraints_off,0.053721,25.397,0.954684,0.024807,0.156617,353
d,proposed,0.042896,27.352,0.971784,0.015947,0.083834,360
e,feature_constraints_off,0.052544,25.590,0.960415,0.029480,0.187170,391
e,proposed,0.046633,26.626,0.969680,0.023570,0.144727,394
f,feature_constraints_off,0.047322,26.499,0.959500,0.020006,0.128221,459
f,proposed,0.038979,28.183,0.971862,0.014138,0.079502,445
