编号,观察位置,建议行,建议列,图像类型,文件名
01,a,1,1,关闭特征约束,01_a_nofeature.png
02,a,1,2,本文方法,02_a_feature.png
03,a,1,3,误差改善热力图,03_a_improvement.png
04,a,1,4,关闭特征约束边缘/轮廓误差,04_a_edge_nofeature.png
05,a,1,5,本文方法边缘/轮廓误差,05_a_edge_feature.png
06,b,2,1,关闭特征约束,06_b_nofeature.png
07,b,2,2,本文方法,07_b_feature.png
08,b,2,3,误差改善热力图,08_b_improvement.png
09,b,2,4,关闭特征约束边缘/轮廓误差,09_b_edge_nofeature.png
10,b,2,5,本文方法边缘/轮廓误差,10_b_edge_feature.png
11,c,3,1,关闭特征约束,11_c_nofeature.png
12,c,3,2,本文方法,12_c_feature.png
13,c,3,3,误差改善热力图,13_c_improvement.png
14,c,3,4,关闭特征约束边缘/轮廓误差,14_c_edge_nofeature.png
15,c,3,5,本文方法边缘/轮廓误差,15_c_edge_feature.png
16,d,4,1,关闭特征约束,16_d_nofeature.png
17,d,4,2,本文方法,17_d_feature.png
18,d,4,3,误差改善热力图,18_d_improvement.png
19,d,4,4,关闭特征约束边缘/轮廓误差,19_d_edge_nofeature.png
20,d,4,5,本文方法边缘/轮廓误差,20_d_edge_feature.png
21,e,5,1,关闭特征约束,21_e_nofeature.png
22,e,5,2,本文方法,22_e_feature.png
23,e,5,3,误差改善热力图,23_e_improvement.png
24,e,5,4,关闭特征约束边缘/轮廓误差,24_e_edge_nofeature.png
25,e,5,5,本文方法边缘/轮廓误差,25_e_edge_feature.png
26,f,6,1,关闭特征约束,26_f_nofeature.png
27,f,6,2,本文方法,27_f_feature.png
28,f,6,3,误差改善热力图,28_f_improvement.png
29,f,6,4,关闭特征约束边缘/轮廓误差,29_f_edge_nofeature.png
30,f,6,5,本文方法边缘/轮廓误差,30_f_edge_feature.png
